68;1030081;FRAG. ALT. X 30 ML. Nº81;-4;16.6;1;15/12/2011
69;1030082;FRAG. ALT. X 30 ML. Nº82;0;16.6;1;15/12/2011
70;1030083;FRAG. ALT. X 30 ML. Nº83;0;16.6;1;15/12/2011
71;1030084;FRAG. ALT. X 30 ML. Nº84;0;16.6;1;15/12/2011
72;1030085;FRAG. ALT. X 30 ML. Nº85;0;16.6;1;15/12/2011
73;1030086;FRAG. ALT. X 30 ML. Nº86;0;16.6;1;15/12/2011
74;1030087;FRAG. ALT. X 30 ML. Nº87;-7;16.6;1;15/12/2011
75;1030088;FRAG. ALT. X 30 ML. Nº88;-1;16.6;1;15/12/2011
76;1030089;FRAG. ALT. X 30 ML. Nº89;0;16.6;1;15/12/2011
77;1030090;FRAG. ALT. X 30 ML. Nº90;0;16.6;1;15/12/2011
78;1030091;FRAG. ALT. X 30 ML. Nº91;-5;16.6;1;15/12/2011
79;1030092;FRAG. ALT. X 30 ML. Nº92;-1;16.6;1;15/12/2011
80;1030093;FRAG. ALT. X 30 ML. Nº93;0;16.6;1;15/12/2011
81;1030096;FRAG. ALT. X 30 ML. Nº96;-1;16.6;1;15/12/2011
82;1030097;FRAG. ALT. X 30 ML. Nº97;-1;16.6;1;15/12/2011
83;1030098;FRAG. ALT. X 30 ML. Nº98;0;16.6;1;15/12/2011
84;1030099;FRAG. ALT. X 30 ML. Nº99;-5;16.6;1;15/12/2011
85;1030100;FRAG. ALT. X 30 ML. Nº100;-4;16.6;1;15/12/2011
86;1030101;FRAG. ALT. X 30 ML. Nº101;0;16.6;1;15/12/2011
87;1030102;FRAG. ALT. X 30 ML. Nº102;0;16.6;1;15/12/2011
88;1030103;FRAG. ALT. X 30 ML. Nº103;-1;16.6;1;15/12/2011
89;1030104;FRAG. ALT. X 30 ML. Nº104;-1;16.6;1;15/12/2011
90;1030105;FRAG. ALT. X 30 ML. Nº105;-1;16.6;1;15/12/2011
91;1030106;FRAG. ALT. X 30 ML. Nº106;0;16.6;1;15/12/2011
